id,price
10317868,5213305.6928376295
10885829,5683919.773921751
10765951,4819455.963940154
10003549,5091928.399667046
10663026,2956098.251743947
10878364,5379635.315529615
11010960,3509776.4356544297
2796113,4192945.495549701
10713056,3868601.9303553384
10978982,4083199.856595407
11033399,6177739.126076704
10806086,1891165.7827526187
10708676,3021831.5268143085
11010221,2588642.6969280043
7065898,2038684.6233079557
10902554,6692640.118050622
10980517,3874633.4755516457
11014396,6828441.175827131
9663197,6151256.676011344
11008407,3175881.337137779
11032158,3557931.6196486815
10521705,5515148.277653779
10357187,3567716.2089366233
9964531,2653871.607327939
11016254,1280266.5467206375
10897827,3134590.0880510556
10971653,5687089.504222441
10851751,5276098.071745023
10614089,6614690.572005102
10799791,3765987.5910790577
10925824,5225293.532047046
10609867,5270823.1145453155
10715849,5302080.877643897
10836932,5399278.270268036
11030179,4908870.0890902765
10973696,3216202.228410227
11029504,2023455.351023681
10865487,6270475.428673612
10856170,2208888.910674664
11022786,5830333.488665786
10989384,6076957.872729823
10508729,5565993.351961143
8757687,4420792.030311809
11023870,2025809.1385036365
10716774,5475315.397958858
10766426,6125609.7614318095
10661714,5510773.003169719
10216708,4785074.333420094
11014086,5593904.717517169
11031161,6163216.8587473
11010764,7206933.502658453
10968744,3584309.043885944
10924482,3953175.545322372
10657488,8855676.483777128
10763402,3165007.645267822
10959817,1739686.2505927552
10968280,3699554.22703169
11029679,3326537.558475626
10563986,6574744.122488881
10802844,5540700.0106851915
11010588,3875109.999899905
10841502,2430786.413714199
10352578,1821446.9056304758
10808054,3766560.8597016144
8766436,6166118.847165283
10334874,2269780.3044209946
11020868,1448483.0980372326
10937582,6378401.811975459
10934819,1642150.6041994123
10977511,3550577.402906855
11032362,6238143.969801195
10932604,3014236.947324064
11027013,5504046.704898085
10932522,1951543.873907311
8356244,2957813.9507729854
10846564,6302013.598998826
10995682,4404944.355511414
10964173,2397490.388042364
10896235,1047681.5001590257
10873801,2363666.8269960843
10938949,5431675.10426177
10955219,3207424.78742466
10866161,3082188.124996375
10963300,5592184.585934098
10802501,5789064.088681447
10149968,1665059.330814525
10859710,2393851.753672309
10914214,3740809.5660915915
10570363,3024776.1763079823
10948664,3053556.6819898086
10692762,5053252.585385813
10631456,2277058.7344407206
10894201,9008424.146779668
11033680,1184575.9758666758
10871777,5641743.828583893
10643036,2995116.295678164
11028263,3173153.9746416835
10674010,6781781.481772384
10217747,3303325.638016036
10838219,7246583.989367561
10265493,1987427.1392450861
11011746,7209491.067354061
10868737,3529456.6776618958
10936703,5232150.492423642
10948999,5298791.938109815
10880167,5048680.0182160195
10885802,7170011.226746775
10147323,5396302.44820601
9657586,5523673.173956653
10934690,3074876.2716741185
10897602,5889976.483755735
10999692,3240533.369322418
10954803,6600986.053909081
10802955,3160677.3714218866
10100372,3687683.5538871596
11024598,5341782.605418347
10931276,3045212.547326509
10587841,5545962.823781877
11028214,6395083.976973128
10609790,5984701.908567968
10949384,1143338.0194597202
11012461,4638311.76703598
11046345,2333262.9871674655
11029643,4984428.081806068
11003951,2616954.3732431484
8663803,2832506.086799365
10918429,2017953.2225943746
10935030,4887667.170922508
10874656,2483743.7114674365
11005848,5516594.844109168
10149824,2071136.1009839207
10670101,1987920.4945099487
8212121,6173229.386101671
10932493,2837770.0363456737
10998578,4874099.011939117
10940004,4629117.571040839
10736927,8473835.73454566
10856961,2483936.3276236122
10401147,5417962.005291453
11034303,2458628.131153029
10903401,3395072.1732776226
10861272,5557407.20227072
11033591,6012799.05493133
8710156,5341687.926381867
10981235,8054450.908469969
10895306,1750001.3940766128
11022252,3650711.988843062
10666780,2288292.250628965
10887672,5206396.915834972
10852211,1513806.9534386941
10953795,5525200.6181787895
9610695,11524520.494427387
10958951,1558872.5171030108
9748213,4118646.187936461
11010796,4382213.104657543
11028485,5252809.617368382
8503318,2571478.324219153
10813852,9248738.243982116
11030135,5686060.561034333
10344760,5656565.920075264
10689642,4081106.1457423116
11011404,-915123.5666506998
11003565,2957069.0646454757
10093159,5475315.397958858
